DATE,DOMESTIC_CRUDE_OIL_PRODUCTION,IMPORTS_OF_CRUDE_OIL,OIL_NEED_OF_INDIA,RATIO
1999-03-31,33,40,73,54.794500
2000-03-31,32,58,90,64.444400
2001-03-31,32,74,106,69.811300
2002-03-31,32,79,111,71.171200
2003-03-31,33,82,115,71.304300
2004-03-31,33,90,123,73.170700
2005-03-31,34,96,130,73.846200
2006-03-31,32,99,131,75.572500
2007-03-31,34,112,146,76.712300
2008-03-31,34,122,156,78.205100
2009-03-31,33,133,166,80.120500
2010-03-31,33,159,192,82.812500
2011-03-31,38,164,202,81.188100
2012-03-31,38,172,210,81.904800
2013-03-31,38,185,223,82.959600
2014-03-31,38,189,227,83.259900
2015-03-31,37,189,226,83.628300
2016-03-31,37,203,240,84.583300
2017-03-31,36,214,250,85.600000
2018-03-31,36,220,256,85.937500
2019-03-31,34,226,260,86.923100
2020-03-31,32,227,259,87.644800
2021-03-31,30,196,226,86.725700
2022-03-31,30,212,242,87.603300
2023-03-31,29,233,262,88.931300
