State,2019,2020,2021,2022
Andhra Pradesh,5949,4830,4786,4931
Arunachal Pradesh,117,60,106,48
Assam,1869,1416,1460,1514
Bihar,1628,1372,1927,1679
Chhattisgarh,2906,1831,2056,2303
Goa,159,130,103,206
Gujarat,4628,3573,4350,4310
Haryana,1871,1421,1334,1461
Himachal Pradesh,934,530,784,839
Jharkhand,1046,1028,733,836
Karnataka,14169,11791,11507,12839
Kerala,9335,6518,8161,11002
Madhya Pradesh,13626,12547,12052,12471
Maharashtra,6465,4336,5078,5418
Manipur,327,176,99,177
Meghalaya,24,13,48,30
Mizoram,29,26,38,33
Nagaland,46,72,82,62
Odisha,3186,2003,2129,2373
Punjab,1003,918,994,1051
Rajasthan,3890,2872,3385,4143
Sikkim,125,71,79,96
Tamil Nadu,21474,17751,18409,23387
Telangana,2614,2015,2075,2042
Tripura,288,166,243,181
Uttarakhand,370,218,238,182
Uttar Pradesh,9272,6776,7155,8264
West Bengal,2404,1837,1935,2444
Andaman & Nicobar Islands,56,28,25,45
Chandigarh,0,0,0,0
Dadra & Nagar Haveli,33,25,66,68
Daman & Diu,5,0,0,0
Delhi,0,0,0,0
Jammu & Kashmir,746,738,958,1868
Ladakh,0,0,71,81
Lakshadweep,0,0,0,0
Puducherry,249,96,117,101
