CIVIL_AVIATION_PASSENGER_CATEGORY,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Average Domestic Passenger Load Factor on Scheduled Flights,,,,,69,63,64,69,66,64,60,60,62,56,56,58,65,68,69,70,64,72,77,75,75,73,79,83,84,87,86
Average International Passenger Load Factor on Scheduled Flights of Indian Airlines,66,64,67,66,68,64,64,69,68,70,70,73,76,69,74,73,72,69,68,66,66,71,73,75,78,78,79,79,78,81,81
Average Total Passenger Load Factor on Scheduled Flights of Domestic Indian Airlines,73,70,72,67,69,64,64,69,67,67,65,66,69,62,65,66,68,68,68,68,65,72,75,75,76,76,79,81,82,84,84
International Passengers Arriving into India through Indian carriers,,,,,,1026361,1168428,1388893,1521904,1569493,1631526,1706326,1751437,1683962,1909443,2008535,2404435,2944888,3458135,4210265,4672032,5501990,6285156,6872802,6703757,7658250,8385537,8957282,10195917,11772395,12806515
International Passengers Arriving into India through International carriers,,,,,,2674551,2824480,3194765,3440308,3597415,3765699,3950719,4267154,4146327,4464419,5032316,5957769,6791643,7825833,8913913,9444813,10198678,11062871,12009626,13098488,13512120,14052568,15474649,16800346,18345326,18767020
International Passengers Departing from India through Indian carriers,,,,,,1180086,1242794,1469468,1553106,1683630,1680696,1752827,1842132,1772973,2047591,2248126,2601488,3204672,3700628,4470797,4879145,5557891,6399102,7082590,6924188,7827475,8520371,9284212,10423229,11784165,12853605
International Passengers Departing from India through International carriers,,,,,,2846137,2946484,3356043,3600818,3805542,3938455,4043169,4417205,4304511,4738749,5339378,6303223,7224041,8387088,9578211,9937913,10817095,11361592,12178794,13577790,14086932,14778151,16069300,17256975,18688890,19331533
Net International Passengers Arriving into India,,,,,,-325311,-196370,-241853,-191712,-322264,-221926,-138951,-240746,-247195,-412478,-546653,-542507,-692182,-803748,-924830,-700213,-674318,-412667,-378956,-699733,-744037,-860417,-921581,-683941,-355334,-611603
Number of Domestic Passenger Kilometers available on Scheduled Flights,,,,,10277000000,10821000000,10297000000,12611000000,14812000000,16454000000,17931000000,19089000000,19897000000,20849000000,22833000000,24936000000,27790000000,35077000000,48702000000,57901000000,59160000000,61091000000,68216000000,78639000000,76148000000,80716000000,84805000000,97728000000,116945000000,134541000000,156783807000
Number of Domestic Passenger Kilometers on Scheduled Flights,,,,,7063000000,6779000000,6545000000,8603000000,9810000000,10599000000,10828000000,11420000000,12283400000,11572400000,12848400000,14565600000,18030400000,23709000000,33519000000,40697000000,37704000000,43959000000,52707000000,59084000000,56739000000,59139000000,67023000000,80966000000,98641000000,117042000000,134881037000
