TITLE,YEAR,INDIA,ANDHRAPRADESH,ARUNACHALPRADESH,ASSAM,BIHAR,CHHATTISGARH,GOA,GUJARAT,HARYANA,HIMACHALPRADESH,JAMMUANDKASHMIR,JHARKHAND,KARNATAKA,KERALA,MADHYAPRADESH,MAHARASHTRA,MANIPUR,MEGHALAYA,MIZORAM,NAGALAND,ODISHA,PUNJAB,RAJASTHAN,SIKKIM,TAMILNADU,TRIPURA,UTTARPRADESH,UTTARAKHAND,WESTBENGAL,ANDAMANANDNICOBARISLANDS,CHANDIGARH,DELHI,PUDUCHERRY
Two Wheeler Vehicle Registrations,2018,19576260,959181,11967,371032,1067956,474155,57297,1336037,582104,79697,101390,502791,1286557,737595,1178234,1969475,22478,17293,17219,6792,719136,663602,1145722,2200,1748319,50550,2732425,209697,926974,7018,28202,494240,55449
Two Wheeler Vehicle Registrations,2019,18644709,901821,21682,377690,1058024,549402,49076,1164231,562276,70037,74539,455421,1200791,635794,1233931,1693104,25703,16512,22842,5858,685678,590725,1148726,4019,1619671,45359,2737247,183368,987125,6687,25904,430178,49913
Two Wheeler Vehicle Registrations,2020,14305134,816630,12223,291723,846396,388211,29462,774637,386231,68549,109826,391991,901501,446746,1001113,1304199,9705,10492,16580,4697,494461,381834,828032,3270,1239494,37106,2127993,135699,903493,4561,15035,278414,36029
Two Wheeler Vehicle Registrations,2021,13926206,740228,12745,336418,834093,353487,34657,838278,364199,59830,81637,380617,830791,514979,879998,1334293,24243,12837,18486,5820,425611,358359,756798,5062,1210558,33948,2201311,137710,796340,4076,16463,275621,36841
Construction Vehicles Registrations,2018,64251,1293,586,4116,128,1854,99,6750,2506,668,281,1522,5145,1529,2796,7550,115,205,247,1370,1289,491,10201,50,6244,119,3476,555,2854,10,9,0,23
Construction Vehicles Registrations,2021,65374,621,833,3849,2700,1809,91,6989,2214,643,617,841,4515,1461,2497,7967,241,295,309,520,3345,1272,8734,56,4554,252,5490,526,2010,20,19,0,9
Passenger Vehicle Registrations,2018,3186658,87695,7290,76154,69124,42011,21533,288174,180819,52306,67062,63048,227200,243250,123239,359638,7396,11698,4241,7547,59945,121042,171028,4499,221547,5156,307048,52744,94344,2612,17663,176781,8874
Passenger Vehicle Registrations,2019,2992618,79233,8387,74819,64107,52454,23003,267246,183645,53205,55678,56536,207608,211630,125298,323957,7564,11559,5233,7234,56920,111342,166960,5965,199714,5160,307291,43231,85870,2167,18383,160039,7266
Passenger Vehicle Registrations,2020,2466583,69775,6112,62187,58062,42811,11376,221261,146383,52623,61960,50339,175225,156842,112222,264963,4422,9459,4038,5765,48353,86389,134281,3590,152896,4707,258171,37310,81085,1373,14344,119532,5531
Passenger Vehicle Registrations,2021,2993344,91631,7928,69933,65288,49115,14127,265453,175514,43314,58889,56972,211874,209905,132676,352378,8980,9551,3686,7807,58195,108536,149930,4288,200319,4406,316527,43434,98310,1222,20341,141260,7750
Tractor Registrations,2019,660453,33395,184,8042,35375,27340,31,45463,38247,1842,2481,9434,37568,672,87530,55736,25,23,7,5,17526,21531,70682,1,23026,5,120223,2682,21298,0,10,11,38
Tractor Registrations,2020,739315,30983,217,12972,48427,25969,31,53350,36357,2528,427,13574,42405,740,98018,74496,2,16,8,5,18725,23453,84863,0,25212,10,123146,3051,20165,2,30,12,64
Tractor Registrations,2021,783239,36970,321,8489,38015,27199,39,67833,41828,1957,3474,12661,49223,949,93832,91308,10,28,13,10,17361,27582,90718,0,28006,14,123258,3741,18236,7,9,5,90
Passenger Vehicle Registrations by Fuel - Electric,2018,1644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passenger Vehicle Registrations by Fuel - Electric,2020,4201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passenger Vehicle Registrations by Fuel - Electric,2021,12998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Vehicle Registrations  - Two Wheelers (by Category),2021,13938557,752331,12782,336353,834148,353478,34648,838237,364151,59853,81642,380618,830750,515120,880026,1334334,24251,12842,18497,5822,425638,358341,756846,5060,1210572,33947,2201364,137722,796406,4056,16443,275598,36833
Construction Vehicles Registrations,2020,58020,530,701,4067,1896,1571,44,4909,2037,1492,482,967,5076,1240,2575,7340,147,315,269,296,2104,959,7106,39,4840,166,4429,553,1745,8,16,25,19
Tractor Registrations,2018,684665,56616,141,15063,49350,17849,40,51755,36181,934,2886,17705,37559,601,71786,62823,43,30,8,23,15118,20000,64795,0,22980,6,112268,3344,24666,2,14,33,63
Passenger Vehicle Registrations by Fuel - Electric,2019,1677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
